miRNA_ID	Seq-ID	miRNA_loci	Expected_canonical_ID
gma-miR166d.v2	miR344_R29_L22	gma-miR166d	gma-miR166d
gma-miR166d.v3	miR1397_R2_L22	gma-miR166d	gma-miR166d
gma-miR166e.v1	miR39_R433_L22	gma-miR166e	gma-miR166e
gma-miR166e.v2	miR87_R214_L22	gma-miR166e	gma-miR166e
gma-miR166e.v3	miR126_R138_L21	gma-miR166e	gma-miR166e
gma-miR166f.v1	miR1_R795_L21	gma-miR166f	gma-miR166f
gma-miR166f.v2	miR344_R29_L22	gma-miR166f	gma-miR166f
gma-miR166f.v3	miR1397_R2_L22	gma-miR166f	gma-miR166f
gma-miR166g.v1	miR39_R433_L22	gma-miR166g	gma-miR166g
gma-miR166g.v2	miR87_R214_L22	gma-miR166g	gma-miR166g
gma-miR166g.v3	miR126_R138_L21	gma-miR166g	gma-miR166g
gma-miR166g.v4	miR138_R123_L21	gma-miR166g	gma-miR166g
gma-miR166i-3p.v1	miR39_R433_L22	gma-miR166i	gma-miR166i-3p
gma-miR166i-3p.v2	miR87_R214_L22	gma-miR166i	gma-miR166i-3p
gma-miR166i-3p.v3	miR126_R138_L21	gma-miR166i	gma-miR166i-3p
gma-miR166i-3p.v4	miR138_R123_L21	gma-miR166i	gma-miR166i-3p
gma-miR166i-5p.v1	miR477_R16_L21	gma-miR166i	gma-miR166i-5p
gma-miR166m.v1	miR290_R40_L21	gma-miR166m	gma-miR166m
gma-miR166m.v2	miR1327_R2_L21	gma-miR166m	gma-miR166m
gma-miR166n.v1	miR39_R433_L22	gma-miR166n	gma-miR166n
gma-miR166n.v2	miR87_R214_L22	gma-miR166n	gma-miR166n
gma-miR166n.v3	miR126_R138_L21	gma-miR166n	gma-miR166n
gma-miR166o.v1	miR39_R433_L22	gma-miR166o	gma-miR166o
gma-miR166o.v2	miR87_R214_L22	gma-miR166o	gma-miR166o
gma-miR166o.v3	miR126_R138_L21	gma-miR166o	gma-miR166o
gma-miR166p.v1	miR39_R433_L22	gma-miR166p	gma-miR166p
gma-miR166p.v2	miR87_R214_L22	gma-miR166p	gma-miR166p
gma-miR166p.v3	miR126_R138_L21	gma-miR166p	gma-miR166p
gma-miR166p.v4	miR138_R123_L21	gma-miR166p	gma-miR166p
gma-miR166q.v1	miR1_R795_L21	gma-miR166q	gma-miR166q
gma-miR166q.v2	miR1397_R2_L22	gma-miR166q	gma-miR166q
gma-miR166s.v1	miR1_R795_L21	gma-miR166s	gma-miR166s
gma-miR166s.v2	miR87_R214_L22	gma-miR166s	gma-miR166s
gma-miR166s.v3	miR1397_R2_L22	gma-miR166s	gma-miR166s
gma-miR166t.v1	miR1_R795_L21	gma-miR166t	gma-miR166t
gma-miR166t.v2	miR87_R214_L22	gma-miR166t	gma-miR166t
gma-miR166t.v3	miR1397_R2_L22	gma-miR166t	gma-miR166t
gma-miR166u.v1	miR1_R795_L21	gma-miR166u	gma-miR166u
gma-miR166u.v2	miR1397_R2_L22	gma-miR166u	gma-miR166u
gma-miR167k.v1	miR460_R17_L21	gma-miR167k	gma-miR167k
